GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,PACE_DIFF,AST_PCT_DIFF,REB_PCT_DIFF,TS_PCT_DIFF,EFG_PCT_DIFF,TM_TOV_PCT_DIFF,HOME_REST_DAYS,AWAY_REST_DAYS,REST_DIFF,HOME_SEED,AWAY_SEED,SEED_DIFF,IS_HOME_HIGHER_SEED,HOME_WIN
41400101,2015-04-19,2014-15,ATL,BKN,2.5999999999999943,-3.0,5.5,-0.37999999999999545,0.04700000000000004,0.007000000000000006,-0.0010000000000000009,-0.0020000000000000018,-0.015999999999999986,7.0,7.0,0.0,4.0,11.0,-7.0,1,1
41400102,2015-04-22,2014-15,ATL,BKN,2.5999999999999943,-3.0,5.5,-0.37999999999999545,0.04700000000000004,0.007000000000000006,-0.0010000000000000009,-0.0020000000000000018,-0.015999999999999986,3.0,3.0,0.0,4.0,11.0,-7.0,1,1
41400105,2015-04-29,2014-15,ATL,BKN,2.5999999999999943,-3.0,5.5,-0.37999999999999545,0.04700000000000004,0.007000000000000006,-0.0010000000000000009,-0.0020000000000000018,-0.015999999999999986,2.0,2.0,0.0,4.0,11.0,-7.0,1,1
41400201,2015-05-03,2014-15,ATL,WAS,-2.200000000000003,1.9000000000000057,-4.1,-1.1099999999999994,0.027000000000000024,-0.02400000000000002,-0.01200000000000001,-0.013000000000000012,-0.017999999999999988,2.0,7.0,-5.0,4.0,8.0,-4.0,1,0
41400202,2015-05-05,2014-15,ATL,WAS,-2.200000000000003,1.9000000000000057,-4.1,-1.1099999999999994,0.027000000000000024,-0.02400000000000002,-0.01200000000000001,-0.013000000000000012,-0.017999999999999988,2.0,2.0,0.0,4.0,8.0,-4.0,1,1
41400205,2015-05-13,2014-15,ATL,WAS,-2.200000000000003,1.9000000000000057,-4.1,-1.1099999999999994,0.027000000000000024,-0.02400000000000002,-0.01200000000000001,-0.013000000000000012,-0.017999999999999988,2.0,2.0,0.0,4.0,8.0,-4.0,1,1
41400301,2015-05-20,2014-15,ATL,CLE,-3.799999999999997,0.7000000000000028,-4.6000000000000005,2.680000000000007,0.127,-0.038000000000000034,-0.0030000000000000027,0.0050000000000000044,-0.006000000000000005,5.0,6.0,-1.0,4.0,2.0,2.0,0,0
41400302,2015-05-22,2014-15,ATL,CLE,-3.799999999999997,0.7000000000000028,-4.6000000000000005,2.680000000000007,0.127,-0.038000000000000034,-0.0030000000000000027,0.0050000000000000044,-0.006000000000000005,2.0,2.0,0.0,4.0,2.0,2.0,0,0
41400113,2015-04-23,2014-15,BOS,CLE,-6.099999999999994,6.700000000000003,-12.8,3.4099999999999966,0.05699999999999994,-0.05600000000000005,-0.020000000000000018,-0.025999999999999968,0.003999999999999976,2.0,2.0,0.0,,2.0,,0,0
41400114,2015-04-26,2014-15,BOS,CLE,-6.099999999999994,6.700000000000003,-12.8,3.4099999999999966,0.05699999999999994,-0.05600000000000005,-0.020000000000000018,-0.025999999999999968,0.003999999999999976,3.0,3.0,0.0,,2.0,,0,0
41400111,2015-04-19,2014-15,CLE,BOS,6.099999999999994,-6.700000000000003,12.8,-3.4099999999999966,-0.05699999999999994,0.05600000000000005,0.020000000000000018,0.025999999999999968,-0.003999999999999976,7.0,7.0,0.0,2.0,,,0,1
41400112,2015-04-21,2014-15,CLE,BOS,6.099999999999994,-6.700000000000003,12.8,-3.4099999999999966,-0.05699999999999994,0.05600000000000005,0.020000000000000018,0.025999999999999968,-0.003999999999999976,2.0,2.0,0.0,2.0,,,0,1
41400211,2015-05-04,2014-15,CLE,CHI,2.3999999999999915,1.1000000000000085,1.3000000000000003,1.1599999999999966,-0.11299999999999999,0.0020000000000000018,0.009000000000000008,0.0050000000000000044,-0.012999999999999984,8.0,4.0,4.0,2.0,6.0,-4.0,1,0
41400212,2015-05-06,2014-15,CLE,CHI,2.3999999999999915,1.1000000000000085,1.3000000000000003,1.1599999999999966,-0.11299999999999999,0.0020000000000000018,0.009000000000000008,0.0050000000000000044,-0.012999999999999984,2.0,2.0,0.0,2.0,6.0,-4.0,1,1
41400215,2015-05-12,2014-15,CLE,CHI,2.3999999999999915,1.1000000000000085,1.3000000000000003,1.1599999999999966,-0.11299999999999999,0.0020000000000000018,0.009000000000000008,0.0050000000000000044,-0.012999999999999984,2.0,2.0,0.0,2.0,6.0,-4.0,1,1
41400303,2015-05-24,2014-15,CLE,ATL,3.799999999999997,-0.7000000000000028,4.6000000000000005,-2.680000000000007,-0.127,0.038000000000000034,0.0030000000000000027,-0.0050000000000000044,0.006000000000000005,2.0,2.0,0.0,2.0,4.0,-2.0,1,1
41400304,2015-05-26,2014-15,CLE,ATL,3.799999999999997,-0.7000000000000028,4.6000000000000005,-2.680000000000007,-0.127,0.038000000000000034,0.0030000000000000027,-0.0050000000000000044,0.006000000000000005,2.0,2.0,0.0,2.0,4.0,-2.0,1,1
41400403,2015-06-09,2014-15,CLE,GSW,-0.5,3.4000000000000057,-3.799999999999999,-3.6599999999999966,-0.123,0.026000000000000023,-0.026000000000000023,-0.04200000000000004,-0.012999999999999984,2.0,2.0,0.0,2.0,1.0,1.0,0,1
41400404,2015-06-11,2014-15,CLE,GSW,-0.5,3.4000000000000057,-3.799999999999999,-3.6599999999999966,-0.123,0.026000000000000023,-0.026000000000000023,-0.04200000000000004,-0.012999999999999984,2.0,2.0,0.0,2.0,1.0,1.0,0,0
41400406,2015-06-16,2014-15,CLE,GSW,-0.5,3.4000000000000057,-3.799999999999999,-3.6599999999999966,-0.123,0.026000000000000023,-0.026000000000000023,-0.04200000000000004,-0.012999999999999984,2.0,2.0,0.0,2.0,1.0,1.0,0,0
41400143,2015-04-23,2014-15,NOP,GSW,-3.5,13.0,-16.4,-0.3499999999999943,-0.030000000000000027,-0.014000000000000012,-0.014000000000000012,-0.030000000000000027,-0.012999999999999984,3.0,3.0,0.0,,1.0,,0,0
41400144,2015-04-25,2014-15,NOP,GSW,-3.5,13.0,-16.4,-0.3499999999999943,-0.030000000000000027,-0.014000000000000012,-0.014000000000000012,-0.030000000000000027,-0.012999999999999984,2.0,2.0,0.0,,1.0,,0,0
41400121,2015-04-18,2014-15,CHI,MIL,12.200000000000003,-3.4000000000000057,15.6,-2.789999999999992,0.03700000000000003,0.068,0.06,0.05499999999999999,0.014999999999999986,7.0,7.0,0.0,6.0,10.0,-4.0,1,1
41400122,2015-04-20,2014-15,CHI,MIL,12.200000000000003,-3.4000000000000057,15.6,-2.789999999999992,0.03700000000000003,0.068,0.06,0.05499999999999999,0.014999999999999986,2.0,2.0,0.0,6.0,10.0,-4.0,1,1
41400125,2015-04-27,2014-15,CHI,MIL,12.200000000000003,-3.4000000000000057,15.6,-2.789999999999992,0.03700000000000003,0.068,0.06,0.05499999999999999,0.014999999999999986,2.0,2.0,0.0,6.0,10.0,-4.0,1,0
41400213,2015-05-08,2014-15,CHI,CLE,-2.3999999999999915,-1.1000000000000085,-1.3000000000000003,-1.1599999999999966,0.11299999999999999,-0.0020000000000000018,-0.009000000000000008,-0.0050000000000000044,0.012999999999999984,2.0,2.0,0.0,6.0,2.0,4.0,0,1
41400214,2015-05-10,2014-15,CHI,CLE,-2.3999999999999915,-1.1000000000000085,-1.3000000000000003,-1.1599999999999966,0.11299999999999999,-0.0020000000000000018,-0.009000000000000008,-0.0050000000000000044,0.012999999999999984,2.0,2.0,0.0,6.0,2.0,4.0,0,0
41400216,2015-05-14,2014-15,CHI,CLE,-2.3999999999999915,-1.1000000000000085,-1.3000000000000003,-1.1599999999999966,0.11299999999999999,-0.0020000000000000018,-0.009000000000000008,-0.0050000000000000044,0.012999999999999984,2.0,2.0,0.0,6.0,2.0,4.0,0,0
41400153,2015-04-24,2014-15,DAL,HOU,1.0,2.8999999999999915,-1.9,0.6400000000000006,-0.07599999999999996,0.009000000000000008,-0.010000000000000009,-0.01200000000000001,-0.013999999999999985,3.0,3.0,0.0,12.0,3.0,9.0,0,0
41400154,2015-04-26,2014-15,DAL,HOU,1.0,2.8999999999999915,-1.9,0.6400000000000006,-0.07599999999999996,0.009000000000000008,-0.010000000000000009,-0.01200000000000001,-0.013999999999999985,2.0,2.0,0.0,12.0,3.0,9.0,0,1
41400141,2015-04-18,2014-15,GSW,NOP,3.5,-13.0,16.4,0.3499999999999943,0.030000000000000027,0.014000000000000012,0.014000000000000012,0.030000000000000027,0.012999999999999984,7.0,7.0,0.0,1.0,,,0,1
41400142,2015-04-20,2014-15,GSW,NOP,3.5,-13.0,16.4,0.3499999999999943,0.030000000000000027,0.014000000000000012,0.014000000000000012,0.030000000000000027,0.012999999999999984,2.0,2.0,0.0,1.0,,,0,1
41400221,2015-05-03,2014-15,GSW,MEM,5.3999999999999915,-4.299999999999997,9.7,1.9899999999999949,0.07200000000000006,-0.0010000000000000009,0.04700000000000004,0.07,0.034,8.0,4.0,4.0,1.0,7.0,-6.0,1,1
41400222,2015-05-05,2014-15,GSW,MEM,5.3999999999999915,-4.299999999999997,9.7,1.9899999999999949,0.07200000000000006,-0.0010000000000000009,0.04700000000000004,0.07,0.034,2.0,2.0,0.0,1.0,7.0,-6.0,1,0
41400225,2015-05-13,2014-15,GSW,MEM,5.3999999999999915,-4.299999999999997,9.7,1.9899999999999949,0.07200000000000006,-0.0010000000000000009,0.04700000000000004,0.07,0.034,2.0,2.0,0.0,1.0,7.0,-6.0,1,1
41400311,2015-05-19,2014-15,GSW,HOU,1.0999999999999943,-9.600000000000009,10.6,-6.930000000000007,0.05600000000000005,0.0030000000000000027,0.006000000000000005,0.016000000000000014,0.0,4.0,2.0,2.0,1.0,3.0,-2.0,1,1
41400312,2015-05-21,2014-15,GSW,HOU,1.0999999999999943,-9.600000000000009,10.6,-6.930000000000007,0.05600000000000005,0.0030000000000000027,0.006000000000000005,0.016000000000000014,0.0,2.0,2.0,0.0,1.0,3.0,-2.0,1,1
41400315,2015-05-27,2014-15,GSW,HOU,1.0999999999999943,-9.600000000000009,10.6,-6.930000000000007,0.05600000000000005,0.0030000000000000027,0.006000000000000005,0.016000000000000014,0.0,2.0,2.0,0.0,1.0,3.0,-2.0,1,1
41400401,2015-06-04,2014-15,GSW,CLE,0.5,-3.4000000000000057,3.799999999999999,3.6599999999999966,0.123,-0.026000000000000023,0.026000000000000023,0.04200000000000004,0.012999999999999984,8.0,9.0,-1.0,1.0,2.0,-1.0,1,1
